index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,crew,director
47,200000000,"Action,Adventure,Science Fiction",http://www.marvel.com/spiderman,634649,"marvel comic,superhero,based on comic book,multiverse,spider",en,Spider-Man: No Way Home,Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous.,234789012,"Columbia Pictures,Marvel Studios,Pascal Pictures",US,2021-12-17,1921847111,148,en,Released,The Multiverse unleashed.,Spider-Man: No Way Home,8.2,22400,"Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Jon Favreau","Michael Giacchino,Seamus McGarvey,Jeffrey Ford",Jon Watts
48,160000000,"Action,Adventure,Fantasy",http://www.aquamanmovie.com,297802,"dc comics,superhero,based on comic book,underwater,atlantis",en,Aquaman,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world.",167890123,"Warner Bros,DC Entertainment,RatPac-Dune Entertainment","US,AU",2018-12-21,1148461807,143,en,Released,Home Is Calling,Aquaman,6.9,14500,"Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson,Nicole Kidman","Rupert Gregson-Williams,Don Burgess,Kirk Morri",James Wan
49,175000000,"Adventure,Action,Science Fiction",http://www.lordoftherings.net,120,"ring,mission,fantasy world,middle-earth,volcano",en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor.",189456789,"New Line Cinema,WingNut Films","NZ,US",2003-12-17,1118888979,201,en,Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,8.5,21800,"Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Andy Serkis","Howard Shore,Andrew Lesnie,Jamie Selkirk",Peter Jackson
50,94000000,"Adventure,Fantasy,Action",http://www.lordoftherings.net,121,"ring,mission,fantasy world,wizard,middle-earth",en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator.",156789234,"New Line Cinema,WingNut Films","NZ,US",2001-12-19,871368364,178,en,Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8.4,22500,"Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Bean,Liv Tyler","Howard Shore,Andrew Lesnie,John Gilbert",Peter Jackson
51,180000000,"Action,Thriller,Science Fiction",http://www.jurassicpark.com,329865,"dinosaur,sequel,theme park,island,genetic engineering",en,Jurassic World Dominion,"Four years after Isla Nublar was destroyed, dinosaurs now live and hunt alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators.",189012345,"Universal Pictures,Amblin Entertainment,Perfect World Pictures",US,2022-06-10,1001978080,147,en,Released,The epic conclusion of the Jurassic era.,Jurassic World Dominion,5.7,8900,"Chris Pratt,Bryce Dallas Howard,Laura Dern,Sam Neill,Jeff Goldblum","Michael Giacchino,John Schwartzman,Mark Sanger",Colin Trevorrow
52,185000000,"Action,Adventure,Science Fiction",http://www.topgunmaverick.com,361743,"navy,pilot,sequel,fighter jet,aviation",en,Top Gun: Maverick,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",245678901,"Paramount Pictures,Skydance Media,Jerry Bruckheimer Films",US,2022-05-27,1488732821,131,en,Released,Feel the need... The need for speed.,Top Gun: Maverick,8.3,9800,"Tom Cruise,Miles Teller,Jennifer Connelly,Jon Hamm,Glen Powell","Harold Faltermeyer,Claudio Miranda,Eddie Hamilton",Joseph Kosinski
53,165000000,"Action,Adventure,Science Fiction",http://www.starwars.com,140607,"space opera,rebel,stormtrooper,death star,lightsaber",en,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",234890123,"Lucasfilm,Bad Robot Productions,Walt Disney Pictures",US,2015-12-18,2068223624,138,en,Released,Every generation has a story.,Star Wars: The Force Awakens,7.9,17600,"Daisy Ridley,John Boyega,Adam Driver,Harrison Ford,Oscar Isaac","John Williams,Dan Mindel,Maryann Brandon",J.J. Abrams
54,150000000,"Action,Thriller,Adventure",http://www.fastandfurious.com,337339,"street racing,heist,car,family,action hero",en,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",178234567,"Universal Pictures,Original Film,China Film Co.",US,2017-04-14,1238764765,136,en,Released,Family no more,The Fate of the Furious,6.9,9500,"Vin Diesel,Dwayne Johnson,Charlize Theron,Jason Statham,Michelle Rodriguez","Brian Tyler,Stephen F. Windon,Paul Rubell",F. Gary Gray
55,175000000,"Action,Adventure,Science Fiction",http://www.marvel.com/captainmarvel,299537,"marvel comic,superhero,based on comic book,1990s,alien invasion",en,Captain Marvel,The story follows Carol Denvers as she becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,189345678,Marvel Studios,US,2019-03-08,1128274794,123,en,Released,Higher. Further. Faster.,Captain Marvel,6.8,13900,"Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law,Annette Bening","Pinar Toprak,Ben Davis,Debbie Berman","Anna Boden,Ryan Fleck"
56,200000000,"Action,Crime,Drama",http://www.batman.com,414906,"dc comics,superhero,based on comic book,vigilante,gotham city",en,The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",198567890,"Warner Bros,DC Entertainment,6th & Idaho",US,2022-03-04,770836163,176,en,Released,Unmask the truth.,The Batman,7.8,12700,"Robert Pattinson,Zoë Kravitz,Paul Dano,Jeffrey Wright,Colin Farrell","Michael Giacchino,Greig Fraser,William Hoy",Matt Reeves
57,165000000,"Animation,Family,Adventure",http://www.pixar.com/toystory4,301528,"animation,pixar,toys,adventure,friendship",en,Toy Story 4,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called Forky to her room, a road trip adventure introduces Woody to old and new friends.",167234567,"Pixar Animation Studios,Walt Disney Pictures",US,2019-06-21,1073394593,100,en,Released,Get Ready to Hit the Road,Toy Story 4,7.7,10800,"Tom Hanks,Tim Allen,Annie Potts,Tony Hale,Keanu Reeves","Randy Newman,Patrick Lin,Axel Geddes",Josh Cooley
58,180000000,"Animation,Action,Adventure",http://www.pixar.com/incredibles2,260513,"animation,pixar,superhero,family,sequel",en,Incredibles 2,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",189678901,"Pixar Animation Studios,Walt Disney Pictures",US,2018-06-15,1242805359,118,en,Released,It's time to get back to work.,Incredibles 2,7.6,13500,"Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,Samuel L. Jackson","Michael Giacchino,Mahyar Abousaeedi,Kevin Nolting",Brad Bird
59,190000000,"Action,Adventure,Science Fiction",http://www.marvel.com/doctorstrange,453395,"marvel comic,superhero,based on comic book,multiverse,sorcerer",en,Doctor Strange in the Multiverse of Madness,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself.",178890123,Marvel Studios,US,2022-05-06,955775804,126,en,Released,Enter a new dimension of Strange.,Doctor Strange in the Multiverse of Madness,7.0,11200,"Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Benedict Wong,Xochitl Gomez","Danny Elfman,John Mathieson,Bob Murawski",Sam Raimi
60,200000000,"Action,Adventure,Science Fiction",http://www.thebatman.com,268896,"dc comics,superhero,based on comic book,sequel,gotham city",en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City's own formidable, forceful vigilante takes on Metropolis's most revered, modern-day savior, while the world wrestles with what sort of hero it really needs.",167345678,"Warner Bros,DC Entertainment,RatPac-Dune Entertainment,Atlas Entertainment",US,2016-03-25,873634919,151,en,Released,Justice or revenge,Batman v Superman: Dawn of Justice,6.0,15700,"Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Gal Gadot","Hans Zimmer,Larry Fong,David Brenner",Zack Snyder
61,63000000,"Drama,Romance",http://www.lalaland.movie,313369,"jazz,los angeles,musical,romance,aspiring actress",en,La La Land,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dinky bars. But as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair.",178456789,"Summit Entertainment,Black Label Media,TIK Films,Impostor Pictures",US,2016-12-09,446092357,128,en,Released,Here's to the fools who dream.,La La Land,8.0,14500,"Ryan Gosling,Emma Stone,John Legend,Rosemarie DeWitt,J.K. Simmons","Justin Hurwitz,Linus Sandgren,Tom Cross",Damien Chazelle
62,55000000,"Thriller,Drama,Mystery",http://www.getoutfilm.com,419430,"race relations,hypnosis,interracial relationship,psychological thriller,sunken place",en,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",156789012,"Blumhouse Productions,QC Entertainment,Monkeypaw Productions",US,2017-02-24,255407969,104,en,Released,Just because you're invited doesn't mean you're welcome.,Get Out,7.7,13800,"Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener,Caleb Landry Jones","Michael Abels,Toby Oliver,Gregory Plotkin",Jordan Peele
63,17000000,"Horror,Thriller",http://www.aquietplace.movie,447332,"alien invasion,survival,sign language,post-apocalyptic,silence",en,A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,189234567,"Platinum Dunes,Sunday Night Productions",US,2018-04-06,340952971,90,en,Released,If they hear you they hunt you,A Quiet Place,7.5,12100,"Emily Blunt,John Krasinski,Millicent Simmonds,Noah Jupe,Cade Woodward","Marco Beltrami,Charlotte Bruus Christensen,Christopher Tellefsen",John Krasinski
64,90000000,"Comedy,Action,Adventure",http://www.deadpool.movie,293660,"marvel comic,superhero,based on comic book,anti hero,mercenary",en,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who adopts the alter ego Deadpool after a rogue experiment leaves him with accelerated healing powers.",198567890,"Twentieth Century Fox,Marvel Entertainment,Kinberg Genre","US,CA",2016-02-12,782612155,108,en,Released,Witness the beginning of a happy ending,Deadpool,7.6,26800,"Ryan Reynolds,Morena Baccarin,Ed Skrein,T.J. Miller,Gina Carano","Tom Holkenborg,Ken Seng,Julian Clarke",Tim Miller
65,58000000,"Comedy,Action,Adventure",http://www.deadpool.movie,383498,"marvel comic,superhero,based on comic book,sequel,time travel",en,Deadpool 2,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,187890123,"Twentieth Century Fox,Marvel Entertainment,Kinberg Genre","US,CA",2018-05-18,785896609,119,en,Released,Prepare for the Second Coming.,Deadpool 2,7.5,18400,"Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,Zazie Beetz","Tyler Bates,Jonathan Sela,Craig Alpert",David Leitch
66,39000000,"Drama,Biography",http://www.bohemianrhapsody.com,424694,"biography,music,rock band,queen,freddie mercury",en,Bohemian Rhapsody,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970.",234678901,"Regency Enterprises,GK Films,New Regency Pictures","US,GB",2018-10-24,910809311,134,en,Released,Fearless lives forever,Bohemian Rhapsody,8.0,20500,"Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,Joseph Mazzello","John Ottman,Newton Thomas Sigel,John Ottman",Bryan Singer
67,25000000,"Horror,Thriller",http://www.itmovie.com,346364,"clown,stephen king,based on novel,shapeshifting,childhood trauma",en,It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",189456789,"New Line Cinema,RatPac-Dune Entertainment,KatzSmith Productions","US,CA",2017-09-08,701796228,135,en,Released,Your fear feeds him,It,7.3,14900,"Bill Skarsgård,Jaeden Martell,Sophia Lillis,Finn Wolfhard,Jeremy Ray Taylor","Benjamin Wallfisch,Chung-hoon Chung,Jason Ballantine",Andy Muschietti
68,17000000,"Comedy,Drama,Romance",http://www.callmebyyourname.com,341013,"first love,italy,summer,coming of age,gay romance",en,Call Me by Your Name,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",145234567,"Frenesy Film Company,M.Y.R.A. Entertainment,RT Features","IT,FR,US,BR",2017-11-24,41906782,132,"en,it,fr",Released,Is it better to speak or die?,Call Me by Your Name,8.1,9800,"Timothée Chalamet,Armie Hammer,Michael Stuhlbarg,Amira Casar,Esther Garrel","Sufjan Stevens,Sayombhu Mukdeeprom,Walter Fasano",Luca Guadagnino
69,30000000,"Drama,Thriller",http://www.joker.movie,475557,"dc comics,joker,origin story,mental illness,gotham city",en,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",267890123,"Warner Bros,DC Entertainment,Village Roadshow Pictures,BRON Studios","US,CA",2019-10-04,1074251311,122,en,Released,Put on a happy face,Joker,8.2,23400,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,Brett Cullen","Hildur Guðnadóttir,Lawrence Sher,Jeff Groth",Todd Phillips
70,55000000,"Animation,Comedy,Adventure",http://www.thelegomovie.com,137106,"animation,lego,construction,creativity,chosen one",en,The Lego Movie,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together.",178123456,"Warner Animation Group,Village Roadshow Pictures,Lego System A/S","US,AU,DK",2014-02-07,469160692,100,en,Released,The story of a nobody who saved everybody.,The Lego Movie,7.7,11600,"Chris Pratt,Elizabeth Banks,Will Ferrell,Morgan Freeman,Liam Neeson","Mark Mothersbaugh,Pablo Plaisted,David Burrows","Phil Lord,Christopher Miller"
71,44000000,"Drama,War",http://www.1917.movie,530915,"world war i,trench warfare,one shot,mission,british army",en,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",198456789,"DreamWorks Pictures,Reliance Entertainment,New Republic Pictures,Neal Street Productions","US,GB",2019-12-25,384603432,119,en,Released,Time is the enemy,1917,8.3,15200,"George MacKay,Dean-Charles Chapman,Mark Strong,Andrew Scott,Richard Madden","Thomas Newman,Roger Deakins,Lee Smith",Sam Mendes
72,20000000,"Drama,Western",http://www.django.com,68718,"bounty hunter,slavery,western,revenge,django",en,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",167890123,"The Weinstein Company,Columbia Pictures",US,2012-12-25,425368238,165,en,Released,Life liberty and the pursuit of vengeance.,Django Unchained,8.1,24700,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson","Luis Bacalov,Robert Richardson,Fred Raskin",Quentin Tarantino
73,100000000,"Drama,Biography,Adventure",http://www.therevenant.com,281957,"survival,bear attack,revenge,winter,frontier",en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",189567890,"Regency Enterprises,Appian Way,New Regency Pictures",US,2015-12-25,532950503,156,en,Released,Blood lost. Life found.,The Revenant,8.0,19500,"Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Will Poulter,Forrest Goodluck","Ryuichi Sakamoto,Emmanuel Lubezki,Stephen Mirrione",Alejandro González Iñárritu
74,15000000,"Drama,Thriller",http://www.whiplash.com,244786,"music,jazz,drumming,ambition,teacher student relationship",en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",156234567,"Bold Films,Blumhouse Productions,Right of Way Films",US,2014-10-10,50360494,107,en,Released,The road to greatness can take you to the edge.,Whiplash,8.5,13700,"Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell","Justin Hurwitz,Sharone Meir,Tom Cross",Damien Chazelle
75,40000000,"Science Fiction,Drama",http://www.arrival.movie,329865,"alien,linguistics,time,communication,first contact",en,Arrival,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",167678901,"FilmNation Entertainment,Lava Bear Films,21 Laps Entertainment","US,CA",2016-11-11,203388186,116,en,Released,Why are they here?,Arrival,7.9,15800,"Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,Tzi Ma","Jóhann Jóhannsson,Bradford Young,Joe Walker",Denis Villeneuve
76,165000000,"Adventure,Drama,Science Fiction",http://www.gravitymovie.com,49047,"space,survival,astronaut,disaster,isolation",en,Gravity,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes.",178345678,"Warner Bros,Esperanto Filmoj,Heyday Films","US,GB",2013-10-04,723192705,91,en,Released,Don't let go.,Gravity,7.7,14300,"Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,Phaldut Sharma","Steven Price,Emmanuel Lubezki,Alfonso Cuarón",Alfonso Cuarón
77,125000000,"Adventure,Fantasy,Family",http://www.thejunglebook.com,278927,"jungle,remake,based on novel,mowgli,animals",en,The Jungle Book,"A man-cub named Mowgli fostered by wolves, Mowgli learns he is no longer welcome in the jungle when fearsome tiger Shere Khan promises to eliminate what he sees as a threat.",189012345,"Walt Disney Pictures,Fairview Entertainment",US,2016-04-15,966550600,106,en,Released,The legend will never be the same.,The Jungle Book,7.3,11900,"Neel Sethi,Bill Murray,Ben Kingsley,Idris Elba,Lupita Nyong'o","John Debney,Bill Pope,Mark Livolsi",Jon Favreau
78,50000000,"Horror,Thriller,Mystery",http://www.thesixthsense.com,745,"ghost,child,psychologist,supernatural,twist ending",en,The Sixth Sense,"Following an unexpected tragedy, a child psychologist named Malcolm Crowe meets an nine year old boy named Cole Sear, who is hiding a dark secret.",145678234,"Hollywood Pictures,Spyglass Entertainment,The Kennedy/Marshall Company",US,1999-08-06,672806292,107,en,Released,I see dead people,The Sixth Sense,8.1,13500,"Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,Donnie Wahlberg","James Newton Howard,Tak Fujimoto,Andrew Mondshein",M. Night Shyamalan
79,18000000,"Drama,Romance",http://www.moonlight.movie,376867,"coming of age,identity,miami,african american,lgbtq",en,Moonlight,"The tender, heartbreaking story of a young man's struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love.",156789456,"A24,Plan B Entertainment,Pastel Productions",US,2016-10-21,65046687,111,en,Released,This is the story of a lifetime,Moonlight,7.4,9200,"Trevante Rhodes,André Holland,Janelle Monáe,Ashton Sanders,Jharrel Jerome","Nicholas Britell,James Laxton,Joi McMillon",Barry Jenkins
80,97000000,"Animation,Adventure,Comedy",http://www.moana.com,277834,"animation,disney,ocean,polynesia,demigod",en,Moana,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",198345789,"Walt Disney Pictures,Walt Disney Animation Studios",US,2016-11-23,643331111,107,en,Released,The ocean is calling,Moana,7.6,13200,"Auli'i Cravalho,Dwayne Johnson,Rachel House,Temuera Morrison,Jemaine Clement","Lin-Manuel Miranda,Jared Bush,Jeff Draheim","Ron Clements,John Musker"
81,160000000,"Action,Adventure,Comedy",http://www.thorloveandthunder.com,616037,"marvel comic,norse mythology,superhero,based on comic book,sequel",en,Thor: Love and Thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster.",189234567,Marvel Studios,US,2022-07-08,760928081,119,en,Released,The one and only.,Thor: Love and Thunder,6.8,9100,"Chris Hemsworth,Natalie Portman,Christian Bale,Tessa Thompson,Taika Waititi","Michael Giacchino,Barry Baz Idoine,Matthew Schmidt",Taika Waititi
82,200000000,"Action,Adventure,Science Fiction",http://www.thematrixresurrections.com,624860,"artificial intelligence,virtual reality,cyberpunk,sequel,simulation",en,The Matrix Resurrections,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a physical or mental construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",167890234,"Warner Bros,Village Roadshow Pictures,Venus Castina Productions",US,2021-12-22,159204655,148,en,Released,Return to the source.,The Matrix Resurrections,6.7,7400,"Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II,Jessica Henwick,Jonathan Groff","Johnny Klimek,Daniele Massaccesi,Joseph Jett Sally",Lana Wachowski
83,79000000,"Horror,Thriller",http://www.us.movie,458156,"doppelganger,conspiracy,family,underground,home invasion",en,Us,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",178456123,"Blumhouse Productions,Monkeypaw Productions,Perfect World Pictures",US,2019-03-22,255076360,116,en,Released,Watch yourself,Us,7.0,12800,"Lupita Nyong'o,Winston Duke,Elisabeth Moss,Tim Heidecker,Shahadi Wright Joseph","Michael Abels,Mike Gioulakis,Nicholas Monsour",Jordan Peele
84,25000000,"Drama,Crime,Biography",http://www.thesocialnetwork.com,37799,"harvard,facebook,entrepreneur,friendship,betrayal",en,The Social Network,The story of the founding of Facebook and the resulting lawsuits.,167234890,"Columbia Pictures,Relativity Media,Scott Rudin Productions",US,2010-10-01,224920315,120,en,Released,You don't get to 500 million friends without making a few enemies.,The Social Network,7.7,16900,"Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Armie Hammer,Max Minghella","Trent Reznor,Jeff Cronenweth,Angus Wall",David Fincher
85,65000000,"Drama,Thriller,Mystery",http://www.gonegirl.com,210577,"marriage,disappearance,media,sociopath,based on novel",en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",189567234,"Regency Enterprises,TSG Entertainment,New Regency Pictures",US,2014-10-03,369330363,149,en,Released,You don't know what you've got 'til it's...,Gone Girl,8.1,18200,"Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Carrie Coon","Trent Reznor,Jeff Cronenweth,Kirk Baxter",David Fincher
86,160000000,"Action,Thriller,Adventure",http://www.missionimpossible.com,353081,"secret agent,spy,sequel,helicopter,fallout",en,Mission: Impossible - Fallout,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives.",198345123,"Paramount Pictures,Skydance Media,Bad Robot Productions,Alibaba Pictures","US,CN",2018-07-27,791115104,147,en,Released,Some missions are not a choice.,Mission: Impossible - Fallout,7.7,10600,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,Rebecca Ferguson","Lorne Balfe,Rob Hardy,Eddie Hamilton",Christopher McQuarrie
87,55000000,"Comedy,Drama",http://www.birdman.com,194662,"showbiz,broadway,actor,dark comedy,black comedy",en,Birdman or (The Unexpected Virtue of Ignorance),"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",156789345,"Regency Enterprises,New Regency Pictures,M Productions",US,2014-10-17,103215094,119,en,Released,Or (The Unexpected Virtue of Ignorance),Birdman,7.7,13100,"Michael Keaton,Edward Norton,Emma Stone,Naomi Watts,Zach Galifianakis","Antonio Sánchez,Emmanuel Lubezki,Douglas Crise",Alejandro González Iñárritu
88,30000000,"Drama,Romance",http://www.nottinghill.com,152532,"london,romantic comedy,bookshop,celebrity,fame",en,Notting Hill,William Thacker is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American actress Anna Scott appears in his shop.,145234678,"Working Title Films,Polygram Filmed Entertainment,Notting Hill Pictures","GB,US",1999-05-28,363889678,124,en,Released,Can the most famous film star in the world fall for just an ordinary guy?,Notting Hill,7.3,10500,"Julia Roberts,Hugh Grant,Hugh Bonneville,Emma Chambers,James Dreyfus","Trevor Jones,Michael Coulter,Nick Moore",Roger Michell
89,150000000,"Action,Adventure,Science Fiction",http://www.dune.movie,438631,"desert,based on novel,space opera,prophecy,sandworm",en,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people.",234890567,"Warner Bros,Legendary Pictures,Villeneuve Films","US,CA",2021-10-22,400671789,155,en,Released,It begins.,Dune,7.9,14700,"Timothée Chalamet,Rebecca Ferguson,Oscar Isaac,Josh Brolin,Stellan Skarsgård","Hans Zimmer,Greig Fraser,Joe Walker",Denis Villeneuve
90,190000000,"Action,Adventure,Science Fiction",http://www.dune.movie,693134,"desert,based on novel,space opera,prophecy,sequel",en,Dune: Part Two,Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a warpath of revenge against the conspirators who destroyed his family.,267456890,"Warner Bros,Legendary Pictures,Villeneuve Films","US,CA",2024-03-01,711844668,166,en,Released,Long live the fighters.,Dune: Part Two,8.4,11300,"Timothée Chalamet,Zendaya,Rebecca Ferguson,Josh Brolin,Austin Butler","Hans Zimmer,Greig Fraser,Joe Walker",Denis Villeneuve
91,125000000,"Animation,Adventure,Comedy",http://www.pixar.com/coco,354912,"animation,pixar,mexico,music,day of the dead",en,Coco,"Despite his family's baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events.",198234567,"Pixar Animation Studios,Walt Disney Pictures",US,2017-11-22,807082196,105,"en,es",Released,The celebration of a lifetime,Coco,8.4,16200,"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach,Renee Victor","Michael Giacchino,Adrian Molina,Steve Bloom",Lee Unkrich
92,11000000,"Drama,Romance",http://www.ladybird.movie,391713,"coming of age,mother daughter relationship,sacramento,college,teenage",en,Lady Bird,"Christine 'Lady Bird' McPherson fights against but is exactly like her wildly loving, deeply opinionated and strong-willed mom, a nurse working tirelessly to keep her family afloat after Lady Bird's father loses his job.",156789234,"Scott Rudin Productions,IAC Films,Management 360",US,2017-11-03,78998099,94,en,Released,Fly Away Home.,Lady Bird,7.4,9700,"Saoirse Ronan,Laurie Metcalf,Tracy Letts,Lucas Hedges,Timothée Chalamet","Jon Brion,Sam Levy,Nick Houy",Greta Gerwig
93,40000000,"Drama,War,History",http://www.dunkirk.movie,374720,"world war ii,evacuation,survival,dunkirk,military",en,Dunkirk,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",189567890,"Syncopy,RatPac-Dune Entertainment","US,GB,FR,NL",2017-07-21,526940665,106,en,Released,Survival is victory,Dunkirk,7.8,12900,"Fionn Whitehead,Tom Glynn-Carney,Jack Lowden,Harry Styles,Aneurin Barnard","Hans Zimmer,Hoyte van Hoytema,Lee Smith",Christopher Nolan
